Time,Latitude (Deg),Longitude (Deg),Altitude (m),Heart Rate (bpm),Speed (km/h),Vibrations,Route Num
2019-09-17T20:04:31Z,,,,,,,3
2019-09-17T20:04:32Z,,,,117,5.46,,3
2019-09-17T20:04:34Z,,,,117,5.46,,3
2019-09-17T20:04:36Z,-27.716291,152.464583,146,117,5.46,,3
2019-09-17T20:04:38Z,-27.716298,152.464563,146,118,5.77,,3
2019-09-17T20:04:40Z,-27.71631,152.464533,146,120,6.11,,3
2019-09-17T20:04:42Z,-27.716326,152.464493,146,120,6.47,,3
2019-09-17T20:04:44Z,-27.716346,152.464444,145,121,6.05,,3
2019-09-17T20:04:46Z,-27.716364,152.464395,145,121,5.8,,3
2019-09-17T20:04:48Z,-27.716381,152.464343,145,122,9.31,,3
2019-09-17T20:04:50Z,-27.716393,152.464288,145,122,9.71,,3
2019-09-17T20:04:52Z,-27.716393,152.464234,145,124,9.44,,3
2019-09-17T20:04:54Z,-27.716376,152.464187,144,123,9.15,,3
2019-09-17T20:04:56Z,-27.716342,152.464158,144,124,9.21,,3
2019-09-17T20:04:58Z,-27.716296,152.464148,144,125,9.73,,3
2019-09-17T20:05:00Z,-27.716244,152.464157,144,124,10.24,,3
2019-09-17T20:05:02Z,-27.716194,152.464179,144,124,10.32,,3
2019-09-17T20:05:04Z,-27.71615,152.464209,144,124,10.17,,3
2019-09-17T20:05:06Z,-27.716116,152.464243,144,125,9.92,,3
2019-09-17T20:05:08Z,-27.716085,152.464277,144,125,9.74,,3
2019-09-17T20:05:10Z,-27.71605,152.464307,143,125,9.63,,3
2019-09-17T20:05:12Z,-27.716018,152.464335,143,125,9.51,,3
2019-09-17T20:05:14Z,-27.715985,152.464366,143,127,9.49,,3
2019-09-17T20:05:16Z,-27.715951,152.464398,143,127,9.46,,3
2019-09-17T20:05:18Z,-27.715915,152.464428,143,128,9.46,,3
2019-09-17T20:05:20Z,-27.715877,152.464453,143,128,9.46,,3
2019-09-17T20:05:22Z,-27.715837,152.464472,143,128,9.39,,3
2019-09-17T20:05:24Z,-27.715798,152.46449,143,128,9.39,,3
2019-09-17T20:05:26Z,-27.71576,152.46451,143,128,9.22,,3
2019-09-17T20:05:28Z,-27.715722,152.464529,143,128,9.22,,3
2019-09-17T20:05:30Z,-27.715683,152.464549,142,129,9.22,,3
2019-09-17T20:05:32Z,-27.715643,152.464565,142,129,9.09,,3
2019-09-17T20:05:34Z,-27.715603,152.464581,142,129,9.05,,3
2019-09-17T20:05:36Z,-27.715563,152.4646,142,129,8.86,,3
2019-09-17T20:05:38Z,-27.715524,152.464619,142,129,8.82,,3
2019-09-17T20:05:40Z,-27.715486,152.464636,141,129,8.75,,3
2019-09-17T20:05:42Z,-27.715451,152.464655,141,130,8.57,,3
2019-09-17T20:05:44Z,-27.715417,152.464674,141,130,8.53,,3
2019-09-17T20:05:46Z,-27.715385,152.464691,141,130,8.53,,3
2019-09-17T20:05:48Z,-27.715353,152.464704,141,130,8.53,,3
2019-09-17T20:05:50Z,-27.715317,152.464714,140,130,8.41,,3
2019-09-17T20:05:52Z,-27.715276,152.464723,140,130,8.41,,3
2019-09-17T20:05:54Z,-27.715231,152.464731,139,130,8.31,,3
2019-09-17T20:05:56Z,-27.715183,152.46474,139,131,8.31,,3
2019-09-17T20:05:58Z,-27.715137,152.464757,139,131,8.31,,3
2019-09-17T20:06:00Z,-27.715097,152.464786,139,131,8.41,,3
2019-09-17T20:06:02Z,-27.715066,152.464822,139,131,8.41,,3
2019-09-17T20:06:04Z,-27.715042,152.46486,138,131,8.59,,3
2019-09-17T20:06:06Z,-27.715021,152.464901,138,131,8.59,,3
2019-09-17T20:06:08Z,-27.715003,152.464943,138,131,8.59,,3
2019-09-17T20:06:10Z,-27.714996,152.464985,138,131,8.67,,3
2019-09-17T20:06:12Z,-27.714992,152.465029,138,132,8.67,,3
2019-09-17T20:06:14Z,-27.714986,152.465075,138,132,8.55,,3
2019-09-17T20:06:16Z,-27.714978,152.465123,138,132,8.55,,3
2019-09-17T20:06:18Z,-27.714971,152.465173,138,132,8.55,,3
2019-09-17T20:06:20Z,-27.714967,152.465227,138,132,8.52,,3
2019-09-17T20:06:22Z,-27.714964,152.46528,138,134,8.52,,3
2019-09-17T20:06:24Z,-27.71495,152.465324,137,134,8.91,,3
2019-09-17T20:06:26Z,-27.714926,152.465358,137,134,8.91,,3
2019-09-17T20:06:28Z,-27.714894,152.46538,137,134,8.91,,3
2019-09-17T20:06:30Z,-27.714856,152.46539,136,134,8.92,,3
2019-09-17T20:06:32Z,-27.714815,152.465393,136,134,8.92,,3
2019-09-17T20:06:34Z,-27.714772,152.465393,136,135,8.72,,3
2019-09-17T20:06:36Z,-27.714729,152.46539,136,135,8.72,,3
2019-09-17T20:06:38Z,-27.714685,152.465388,136,135,8.72,,3
2019-09-17T20:06:40Z,-27.714641,152.465382,135,134,8.61,,3
2019-09-17T20:06:42Z,-27.714596,152.465376,135,135,8.61,,3
2019-09-17T20:06:44Z,-27.714554,152.465371,134,135,8.66,,3
2019-09-17T20:06:46Z,-27.714509,152.465369,134,135,8.66,,3
2019-09-17T20:06:48Z,-27.714462,152.465367,134,135,8.66,,3
2019-09-17T20:06:50Z,-27.714416,152.465367,133,135,8.79,,3
2019-09-17T20:06:52Z,-27.714371,152.46537,133,135,8.79,,3
2019-09-17T20:06:54Z,-27.714324,152.465378,132,135,8.98,,3
2019-09-17T20:06:56Z,-27.714279,152.465394,132,136,8.98,,3
2019-09-17T20:06:58Z,-27.714239,152.465419,132,136,8.98,,3
2019-09-17T20:07:00Z,-27.714202,152.465449,131,136,9.12,,3
2019-09-17T20:07:02Z,-27.714166,152.465481,131,136,9.12,,3
2019-09-17T20:07:04Z,-27.714127,152.465508,130,137,9.18,,3
2019-09-17T20:07:06Z,-27.714084,152.465527,130,137,9.18,,3
2019-09-17T20:07:08Z,-27.71404,152.465539,130,137,9.18,,3
2019-09-17T20:07:10Z,-27.713994,152.465547,129,137,9.21,,3
2019-09-17T20:07:12Z,-27.713949,152.465559,129,137,9.21,,3
2019-09-17T20:07:14Z,-27.713904,152.465576,128,137,9.24,,3
2019-09-17T20:07:16Z,-27.71386,152.465598,128,138,9.24,,3
2019-09-17T20:07:18Z,-27.713815,152.465623,128,138,9.24,,3
2019-09-17T20:07:20Z,-27.713772,152.465644,127,138,9.31,,3
2019-09-17T20:07:22Z,-27.71373,152.465656,127,139,9.31,,3
2019-09-17T20:07:24Z,-27.713691,152.46566,126,138,9.31,,3
2019-09-17T20:07:26Z,-27.713652,152.46566,126,139,9.31,,3
2019-09-17T20:07:28Z,-27.713611,152.465659,126,138,9.31,,3
2019-09-17T20:07:30Z,-27.713567,152.465662,124,138,9.23,,3
2019-09-17T20:07:32Z,-27.713525,152.465659,124,138,9.23,,3
2019-09-17T20:07:34Z,-27.713485,152.465646,124,138,9.15,,3
2019-09-17T20:07:36Z,-27.713447,152.465629,124,138,9.15,,3
2019-09-17T20:07:38Z,-27.713408,152.465611,124,138,9.15,,3
2019-09-17T20:07:40Z,-27.713367,152.465591,123,139,9.12,,3
2019-09-17T20:07:42Z,-27.713324,152.465575,123,139,9.12,,3
2019-09-17T20:07:44Z,-27.713279,152.465565,121,139,9.11,,3
2019-09-17T20:07:46Z,-27.713233,152.465563,121,139,9.11,,3
