,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16
0,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,6511.1906
1,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,14283.4221
2,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,9864.868
3,10105,Goulburn - Mulwaree,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,9099.9086
4,10106,Young - Yass,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,12136.1738
5,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,988.4263
6,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,692.6461
7,10301,Bathurst,103,Central West,1RNSW,Rest of NSW,1,New South Wales,6984.183
8,10302,Lachlan Valley,103,Central West,1RNSW,Rest of NSW,1,New South Wales,41000.7206
9,10303,Lithgow - Mudgee,103,Central West,1RNSW,Rest of NSW,1,New South Wales,16044.6246
10,10304,Orange,103,Central West,1RNSW,Rest of NSW,1,New South Wales,6267.5322
11,10401,Clarence Valley,104,Coffs Harbour - Grafton,1RNSW,Rest of NSW,1,New South Wales,9263.1939
12,10402,Coffs Harbour,104,Coffs Harbour - Grafton,1RNSW,Rest of NSW,1,New South Wales,3966.5639
13,10501,Bourke - Cobar - Coonamble,105,Far West and Orana,1RNSW,Rest of NSW,1,New South Wales,162765.126
14,10502,Broken Hill and Far West,105,Far West and Orana,1RNSW,Rest of NSW,1,New South Wales,146860.1758
15,10503,Dubbo,105,Far West and Orana,1RNSW,Rest of NSW,1,New South Wales,29738.3907
16,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,8566.7809
17,10602,Maitland,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,380.1168
18,10603,Port Stephens,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,1071.9768
19,10604,Upper Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,11472.417
20,10701,Dapto - Port Kembla,107,Illawarra,1RNSW,Rest of NSW,1,New South Wales,163.6962
21,10702,Illawarra Catchment Reserve,107,Illawarra,1RNSW,Rest of NSW,1,New South Wales,744.3423
22,10703,Kiama - Shellharbour,107,Illawarra,1RNSW,Rest of NSW,1,New South Wales,390.7983
23,10704,Wollongong,107,Illawarra,1RNSW,Rest of NSW,1,New South Wales,240.0822
24,10801,Great Lakes,108,Mid North Coast,1RNSW,Rest of NSW,1,New South Wales,3133.0446
25,10802,Kempsey - Nambucca,108,Mid North Coast,1RNSW,Rest of NSW,1,New South Wales,5339.3249
26,10803,Lord Howe Island,108,Mid North Coast,1RNSW,Rest of NSW,1,New South Wales,16.2918
27,10804,Port Macquarie,108,Mid North Coast,1RNSW,Rest of NSW,1,New South Wales,3687.77
28,10805,Taree - Gloucester,108,Mid North Coast,1RNSW,Rest of NSW,1,New South Wales,6675.0682
29,10901,Albury,109,Murray,1RNSW,Rest of NSW,1,New South Wales,5597.4849
